Edge,Ollivier-Ricci Curvature
"('236', '496')",-0.037081339712918604
"('236', '497')",0.004456327985740582
"('236', '509')",-0.016295025728987556
"('236', '545')",-0.017316017316016064
"('236', '549')",-0.006792058516196242
"('236', '555')",-0.05393939393939373
"('236', '577')",-0.014204545454545414
"('236', '580')",-0.014393939393938293
"('236', '585')",-0.013814616755791986
"('236', '592')",-0.023584905660376965
"('236', '596')",-0.04444444444444362
"('236', '612')",-0.017586580086579318
"('236', '621')",-0.005303030303028589
"('236', '622')",-0.029258098223615026
"('236', '656')",-0.02338603425559893
"('236', '678')",-0.012310606060605966
"('236', '681')",-0.05270793036750465
"('236', '688')",-0.03409090909090873
"('236', '717')",-0.022727272727272263
"('236', '744')",-0.022424242424242014
"('236', '749')",-0.025568181818181657
"('236', '761')",-0.032828282828281985
"('236', '774')",-0.0772727272727265
"('236', '800')",-0.005681818181817455
"('236', '829')",-0.009469696969696573
"('236', '885')",-0.012626262626262319
"('236', '888')",-0.05303030303030254
"('236', '893')",-0.08732057416267924
"('236', '908')",-0.030594405594404295
"('236', '910')",-0.04640151515151447
"('236', '911')",-0.04116638078902146
"('236', '918')",0.001818181818182052
"('236', '956')",0.002622377622378713
"('236', '982')",-0.05606060606060459
"('237', '14')",-0.05470494417862781
"('237', '21')",-0.0397463002114149
"('237', '50')",0.03636363636363882
"('237', '128')",-0.02363636363636168
"('237', '130')",-0.038068181818181834
"('237', '162')",-0.015398886827456604
"('237', '169')",-0.04478935698447706
"('237', '201')",0.00713012477718411
"('237', '219')",-0.03030303030302961
"('237', '232')",0.0020202020202046977
"('237', '249')",-0.056565656565655376
"('237', '262')",-0.06344294003868378
"('237', '269')",-0.035736677115985716
"('237', '272')",-0.045454545454543194
"('237', '287')",-0.04590163934426217
"('237', '294')",-0.04636363636363461
"('237', '451')",-0.046655231560890575
"('237', '459')",-0.0513368983957212
"('237', '496')",-0.04808612440191151
"('237', '522')",-0.012965722801788093
"('237', '532')",-0.07272727272727142
"('237', '548')",-0.018181818181815634
"('237', '579')",-0.009090909090906596
"('237', '591')",-0.03939393939393865
"('237', '594')",-0.019318181818180014
"('237', '595')",0.007954545454545547
"('237', '606')",-0.03743315508021139
"('237', '616')",-0.004634581105168678
"('237', '623')",-0.03361921097770071
"('237', '636')",-0.06493506493506285
"('237', '703')",-0.016697588126157736
